5	5	1670.2	1670.2	0.0000	3541	1895	562	3.38	5.87	9.25	12.28	14.59	17.26	18.15	18.51	19.04	19.75	20.82	21.71	23.67	24.91	26.33	29.36	31.67	34.52	36.30	38.61	40.93	43.24	45.91	47.51	48.22	49.82	50.71	51.60	52.31	53.20	54.09	54.63	55.69	57.12	58.19	60.14	61.03	61.74	62.63	64.41	65.52	57.89	61.18	61.06	58.16	57.40	51.78	46.22	42.29	39.50	37.74	36.09	36.34	35.53	35.07	36.67	37.24	38.34	38.20	38.61	38.92	39.26	39.88	39.56	38.55	38.30	37.55	36.85	36.07	35.47	34.86	34.11	33.73	33.58	33.23	33.40	32.98	32.49	32.12	32.21	0.14	0.21	0.29	0.34	0.36	0.39	0.38	0.36	0.34	0.33	0.32	0.32	0.33	0.33	0.33	0.35	0.36	0.38	0.38	0.39	0.39	0.40	0.41	0.41	0.40	0.40	0.40	0.39	0.38	0.38	0.38	0.37	0.37	0.37	0.36	0.37	0.36	0.36	0.36	0.36	64.41	65.52	0.41	42.11
10	9	1473.2	1476.9	0.0000	3541	1895	562	3.56	5.52	8.19	11.92	14.41	17.08	18.68	18.86	20.28	20.28	21.17	21.71	23.31	24.56	25.27	27.05	28.11	29.54	32.21	34.52	37.37	40.04	41.81	44.31	46.09	47.69	49.64	51.42	52.31	54.09	54.98	55.69	56.41	57.83	58.72	59.43	59.96	60.85	61.74	62.81	68.97	54.39	54.12	59.29	57.45	56.80	53.30	47.11	45.06	40.57	38.39	36.09	35.79	35.03	33.65	33.78	33.05	32.81	33.90	34.52	35.53	36.35	36.32	36.89	36.84	36.66	36.76	36.72	36.07	36.06	35.44	34.78	34.16	34.00	33.54	33.00	32.40	32.02	31.66	31.41	0.15	0.20	0.25	0.33	0.36	0.39	0.39	0.36	0.36	0.34	0.33	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.34	0.35	0.36	0.37	0.37	0.38	0.38	0.38	0.39	0.39	0.38	0.39	0.38	0.38	0.37	0.37	0.37	0.36	0.36	0.35	0.35	0.35	62.81	68.97	0.39	45.88
15	14	1287.6	1310.4	0.0000	3541	1895	562	3.20	5.52	7.65	10.50	13.52	17.08	20.11	22.95	23.84	24.20	24.91	25.62	26.69	27.05	27.76	28.65	29.54	30.07	31.14	32.38	33.81	35.77	38.26	40.39	43.06	45.20	47.33	49.64	51.78	54.27	55.52	56.23	57.65	58.90	58.90	59.61	60.68	61.03	61.57	62.99	62.07	54.39	50.59	52.21	53.90	56.80	57.36	57.33	52.96	48.40	45.16	42.60	40.98	38.58	36.97	35.78	34.73	33.40	32.77	32.38	32.15	32.47	33.23	33.63	34.42	34.75	35.05	35.45	35.71	36.18	35.78	35.11	34.91	34.62	33.64	33.10	32.79	32.12	31.57	31.49	0.13	0.20	0.24	0.29	0.34	0.39	0.42	0.44	0.43	0.40	0.39	0.38	0.37	0.36	0.35	0.34	0.34	0.33	0.32	0.32	0.32	0.33	0.34	0.35	0.36	0.36	0.37	0.38	0.38	0.39	0.39	0.38	0.38	0.38	0.37	0.36	0.36	0.35	0.35	0.35	62.99	62.07	0.44	49.41
20	18	1244.1	1269.3	0.0000	3541	1895	562	3.02	5.34	7.47	10.68	14.41	17.97	20.82	23.49	25.09	25.27	26.16	26.69	27.58	27.76	28.83	29.89	30.78	31.14	31.67	33.10	34.52	35.59	38.08	41.10	42.88	45.55	47.86	49.82	51.78	53.74	56.23	56.41	57.47	58.90	59.79	60.68	61.21	62.10	62.46	62.81	58.62	52.63	49.41	53.10	57.45	59.76	59.39	58.67	55.73	50.53	47.42	44.38	42.35	39.59	38.39	37.33	36.19	34.58	33.33	33.10	32.83	32.31	33.08	34.22	34.28	35.02	35.44	35.58	35.71	35.82	36.24	35.22	34.81	34.62	34.15	33.70	33.08	32.68	32.03	31.41	0.13	0.19	0.23	0.30	0.36	0.41	0.43	0.45	0.45	0.42	0.41	0.39	0.38	0.36	0.36	0.36	0.35	0.34	0.33	0.33	0.33	0.33	0.34	0.35	0.36	0.37	0.37	0.38	0.38	0.38	0.39	0.38	0.38	0.38	0.37	0.37	0.36	0.36	0.35	0.35	62.81	59.76	0.45	50.59
25	21	1183.6	1196.9	0.0000	3541	1895	562	2.85	6.23	8.36	11.03	13.17	16.55	19.93	22.60	24.91	26.51	27.40	28.29	29.18	29.89	30.07	30.78	31.32	31.49	32.74	33.63	35.05	37.54	39.86	41.81	44.13	46.80	49.11	51.42	52.67	54.63	56.94	57.65	59.07	60.68	61.03	61.57	62.10	63.35	64.06	64.77	55.17	61.40	55.29	54.87	52.48	55.03	56.85	56.44	55.34	53.02	49.68	47.04	44.81	42.64	40.05	38.44	36.82	34.98	34.46	33.63	33.33	34.09	34.62	34.81	35.28	35.98	36.36	36.72	36.32	36.42	36.70	36.00	35.78	35.67	34.86	34.19	33.56	33.33	32.85	32.38	0.12	0.22	0.26	0.31	0.33	0.38	0.41	0.43	0.44	0.44	0.43	0.42	0.40	0.39	0.38	0.37	0.36	0.34	0.34	0.34	0.34	0.35	0.36	0.36	0.37	0.38	0.38	0.39	0.39	0.39	0.40	0.39	0.39	0.39	0.38	0.38	0.37	0.37	0.36	0.36	64.77	61.40	0.44	47.52
30	26	1132.0	1153.2	0.0000	3541	1895	562	3.38	5.69	8.36	10.14	13.17	16.90	19.75	22.78	25.98	26.87	27.22	28.29	28.83	29.54	30.25	30.60	31.32	32.21	32.92	33.45	34.34	35.94	36.65	39.15	41.46	43.59	46.09	48.40	50.00	51.25	54.09	56.05	57.47	58.72	60.68	61.39	62.10	63.35	64.06	64.41	65.52	56.14	55.29	50.44	52.48	56.21	56.35	56.89	57.71	53.74	49.35	47.04	44.26	42.13	40.28	38.22	36.82	35.77	34.64	33.45	32.66	32.63	31.84	32.59	33.14	33.52	34.12	34.56	34.48	34.16	34.86	35.00	34.81	34.52	34.65	34.09	33.56	33.33	32.85	32.21	0.14	0.20	0.26	0.28	0.33	0.38	0.41	0.44	0.46	0.45	0.42	0.42	0.40	0.39	0.38	0.36	0.36	0.35	0.34	0.33	0.33	0.33	0.33	0.34	0.35	0.35	0.36	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.36	0.36	64.41	65.52	0.46	49.56
35	34	1077.1	1079.9	0.0000	3541	1895	562	3.02	5.52	8.01	10.14	12.99	15.84	18.86	21.71	23.67	26.69	26.87	28.47	28.47	29.00	29.18	29.72	30.60	31.14	31.85	31.85	32.92	35.05	37.01	38.79	41.28	43.95	46.62	48.93	51.42	53.02	54.63	57.12	59.07	61.03	62.28	63.88	65.48	66.37	66.90	67.26	58.62	54.39	52.94	50.44	51.77	52.66	53.81	54.22	52.57	53.38	48.71	47.34	43.72	41.37	38.86	37.11	35.98	34.58	33.52	31.85	31.30	31.83	32.15	32.30	33.00	33.79	34.52	34.94	35.46	35.35	35.21	35.67	35.78	35.88	35.57	35.47	35.38	34.93	34.31	33.63	0.13	0.20	0.25	0.28	0.32	0.36	0.39	0.42	0.42	0.44	0.42	0.42	0.39	0.38	0.36	0.35	0.35	0.34	0.33	0.32	0.32	0.32	0.33	0.33	0.34	0.35	0.36	0.37	0.38	0.38	0.38	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.38	0.37	67.26	58.62	0.44	49.56
40	34	1040.7	1059.7	0.0000	3541	1895	562	3.20	5.87	8.19	10.50	13.17	17.08	20.82	22.95	25.80	26.69	27.40	27.94	28.47	29.89	30.78	30.78	31.49	32.21	32.74	32.92	34.16	36.30	37.37	38.61	40.75	43.42	45.91	48.22	51.07	53.38	54.63	56.76	58.90	60.14	62.28	64.06	64.06	65.48	65.84	66.55	62.07	57.89	54.12	52.21	52.48	56.80	59.39	57.33	57.31	53.38	49.68	46.45	43.72	42.64	41.00	38.44	37.03	35.77	34.46	32.92	32.49	32.96	32.46	32.15	32.57	33.38	33.99	34.43	35.21	35.59	35.21	35.44	35.67	35.36	35.57	35.57	34.62	34.46	33.76	33.27	0.13	0.21	0.25	0.29	0.33	0.39	0.43	0.44	0.46	0.44	0.43	0.41	0.39	0.39	0.38	0.37	0.36	0.35	0.34	0.33	0.33	0.34	0.33	0.33	0.34	0.35	0.36	0.37	0.38	0.38	0.38	0.38	0.39	0.39	0.39	0.39	0.38	0.38	0.37	0.37	66.55	62.07	0.46	47.79
45	38	1031.6	1051.7	0.0000	3541	1895	562	2.85	4.98	7.47	10.50	13.70	17.44	20.82	22.95	25.62	28.29	29.54	30.07	30.43	31.14	31.67	32.03	32.56	32.92	33.81	34.88	36.12	38.26	39.32	40.75	41.99	44.13	46.62	48.75	51.60	52.67	55.34	57.30	59.07	61.03	61.74	63.52	65.30	65.84	66.19	66.55	55.17	49.12	49.41	52.21	54.61	57.99	59.39	57.33	56.92	56.58	53.55	50.00	46.72	44.42	42.18	40.00	38.28	36.56	35.58	34.88	34.35	34.73	34.16	33.93	33.57	33.93	34.52	34.82	35.58	35.11	35.67	35.78	35.78	35.88	35.26	35.28	35.29	34.64	33.94	33.27	0.12	0.18	0.23	0.29	0.34	0.40	0.43	0.44	0.46	0.47	0.46	0.44	0.42	0.41	0.40	0.38	0.37	0.36	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.36	0.36	0.37	0.38	0.38	0.38	0.39	0.39	0.39	0.39	0.39	0.39	0.38	0.38	0.37	66.55	59.39	0.47	50.88
50	39	989.2	1016.7	0.0000	3541	1895	562	3.20	5.69	8.19	10.68	13.17	16.01	19.22	22.78	24.91	27.40	29.72	30.25	30.96	31.14	31.32	31.67	32.56	33.10	33.63	34.34	35.41	37.01	38.79	39.50	41.10	43.24	46.26	48.04	49.64	52.49	54.98	57.30	59.07	61.03	63.70	64.23	64.95	66.55	67.08	67.79	62.07	56.14	54.12	53.10	52.48	53.25	54.82	56.89	55.34	54.80	53.87	50.30	47.54	44.42	41.71	39.56	38.28	36.76	35.39	34.34	33.67	33.60	33.69	32.89	32.86	33.24	34.26	34.31	34.23	34.99	35.44	35.78	35.78	35.88	36.38	35.67	35.10	35.02	34.40	33.90	0.13	0.20	0.25	0.30	0.33	0.36	0.40	0.44	0.44	0.46	0.46	0.44	0.43	0.41	0.39	0.38	0.37	0.36	0.35	0.34	0.34	0.34	0.35	0.34	0.34	0.35	0.36	0.36	0.36	0.37	0.38	0.39	0.39	0.39	0.40	0.39	0.39	0.39	0.38	0.38	67.79	62.07	0.46	47.52
