10	9	20118.1	20414.8	15.3323	0.0000	3615	1913	606	0.83	1.32	2.81	4.46	5.78	6.77	8.42	9.41	10.40	11.72	13.37	14.19	15.35	17.16	18.65	19.64	20.63	21.12	22.11	23.27	24.09	25.91	27.23	29.04	30.69	32.34	34.32	35.15	36.96	37.95	38.78	39.93	41.91	43.23	44.88	46.20	48.68	49.83	51.16	52.97	16.13	13.11	18.68	22.13	23.03	22.53	23.94	23.46	23.08	23.43	24.25	23.63	23.60	24.47	24.84	24.54	24.22	23.44	23.26	23.27	22.92	23.54	23.67	24.18	24.54	24.87	25.40	25.09	25.48	25.30	25.00	24.95	25.40	25.41	25.64	25.66	26.29	26.22	26.23	26.49	0.03	0.05	0.09	0.12	0.14	0.15	0.17	0.18	0.19	0.20	0.21	0.21	0.21	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.24	0.24	0.25	0.26	0.26	0.27	0.27	0.27	0.27	0.27	0.27	0.28	0.28	0.28	0.28	0.29	0.29	0.29	0.29	52.97	26.49	0.29	38.71
15	14	19441.3	19553.1	14.7507	0.0000	3615	1913	606	0.83	1.98	2.97	4.62	5.94	7.43	8.91	9.90	11.22	12.05	13.37	14.85	15.68	17.33	18.98	20.79	21.95	23.10	24.09	24.75	25.91	26.73	27.72	29.54	31.52	33.17	34.49	36.63	38.12	39.27	40.92	41.25	41.91	43.40	45.05	47.03	48.18	50.50	52.15	53.14	16.13	19.67	19.78	22.95	23.68	24.73	25.35	24.69	24.91	24.09	24.25	24.73	24.11	24.71	25.27	25.98	25.78	25.64	25.35	24.75	24.65	24.29	24.10	24.59	25.20	25.51	25.52	26.15	26.28	26.18	26.38	25.77	25.40	25.51	25.73	26.12	26.02	26.56	26.73	26.57	0.03	0.07	0.09	0.13	0.15	0.17	0.19	0.19	0.20	0.20	0.21	0.22	0.22	0.23	0.24	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.26	0.27	0.27	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.29	0.29	0.29	0.30	0.30	53.14	26.73	0.30	41.94
20	19	18800.0	18820.9	14.1836	0.0000	3615	1913	606	0.99	2.15	3.14	4.95	6.60	8.09	9.24	11.06	11.72	12.38	13.37	14.52	15.51	17.33	19.47	20.96	21.95	23.27	24.26	25.41	26.24	27.23	29.37	30.69	32.51	33.99	35.48	37.29	39.27	39.93	41.09	42.41	43.89	45.54	46.37	48.02	49.34	50.99	52.15	53.96	19.35	21.31	20.88	24.59	26.32	26.92	26.29	27.57	26.01	24.75	24.25	24.18	23.86	24.71	25.93	26.19	25.78	25.82	25.52	25.41	24.96	24.74	25.54	25.55	25.99	26.14	26.25	26.62	27.08	26.62	26.49	26.49	26.60	26.77	26.48	26.67	26.65	26.82	26.73	26.98	0.04	0.08	0.10	0.14	0.16	0.18	0.19	0.21	0.21	0.21	0.21	0.21	0.22	0.23	0.24	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.26	0.26	0.27	0.27	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.30	0.30	0.30	53.96	27.57	0.30	41.94
25	23	18449.8	18554.5	14.3948	0.0000	3615	1913	606	1.16	1.65	3.47	5.12	7.10	7.92	9.41	10.40	11.88	12.21	13.20	14.69	16.17	17.16	18.81	20.63	21.29	22.44	23.60	25.41	26.24	27.39	28.55	30.86	32.51	34.98	36.14	37.46	39.27	40.76	42.08	42.90	44.39	45.21	46.70	47.03	48.18	49.34	50.50	51.65	22.58	16.39	23.08	25.41	28.29	26.37	26.76	25.93	26.37	24.42	23.95	24.45	24.87	24.47	25.05	25.77	25.00	24.91	24.83	25.41	24.96	24.89	24.82	25.69	25.99	26.90	26.74	26.74	27.08	27.17	27.13	26.80	26.90	26.58	26.67	26.12	26.02	25.95	25.89	25.83	0.05	0.06	0.11	0.14	0.18	0.18	0.20	0.20	0.21	0.20	0.21	0.22	0.22	0.23	0.23	0.25	0.24	0.24	0.25	0.25	0.25	0.25	0.25	0.27	0.27	0.28	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	51.65	28.29	0.29	36.07
30	25	18141.2	18346.6	14.0282	0.0000	3615	1913	606	0.99	1.82	3.14	4.79	6.11	7.10	8.25	9.57	10.23	11.39	12.71	14.36	15.51	16.67	17.82	18.98	20.96	22.77	24.09	25.58	26.24	27.39	28.55	29.87	31.85	33.66	35.48	37.13	38.45	39.27	40.76	42.24	43.73	45.38	46.20	47.52	48.51	49.34	50.50	52.48	19.35	18.03	20.88	23.77	24.34	23.63	23.47	23.87	22.71	22.77	23.05	23.90	23.86	23.76	23.74	23.71	24.61	25.27	25.35	25.58	24.96	24.89	24.82	24.86	25.46	25.89	26.25	26.50	26.51	26.18	26.28	26.39	26.50	26.67	26.39	26.40	26.20	25.95	25.89	26.24	0.04	0.06	0.10	0.13	0.15	0.16	0.17	0.18	0.18	0.19	0.20	0.21	0.22	0.22	0.22	0.23	0.24	0.25	0.25	0.26	0.25	0.25	0.25	0.26	0.27	0.27	0.28	0.28	0.28	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	52.48	26.67	0.29	31.15
35	28	17800.9	18014.8	13.8192	0.0000	3615	1913	606	0.83	1.98	3.14	4.62	6.11	7.59	9.08	10.40	11.06	11.55	13.20	14.52	15.68	16.83	19.31	20.63	21.95	23.60	24.09	24.92	26.07	27.23	28.55	30.69	32.51	33.83	35.31	36.96	38.78	40.43	41.75	43.07	44.55	46.04	47.85	48.84	50.50	51.32	52.48	53.30	16.13	19.67	20.88	22.95	24.34	25.27	25.82	25.93	24.54	23.10	23.95	24.18	24.11	24.00	25.71	25.77	25.78	26.19	25.35	24.92	24.80	24.74	24.82	25.55	25.99	26.02	26.13	26.38	26.73	26.95	26.91	26.91	27.00	27.06	27.33	27.13	27.27	27.00	26.90	26.65	0.03	0.07	0.10	0.13	0.15	0.17	0.19	0.20	0.20	0.19	0.21	0.21	0.22	0.22	0.24	0.25	0.25	0.26	0.25	0.25	0.25	0.25	0.25	0.26	0.27	0.27	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.30	0.30	0.30	0.30	0.30	0.30	53.30	27.33	0.30	38.71
40	34	17587.0	17780.1	13.6723	0.0000	3615	1913	606	0.99	1.82	2.81	5.12	6.93	8.75	9.90	11.06	11.88	12.54	13.86	15.84	16.50	17.49	18.48	20.30	21.12	22.28	24.09	25.58	26.57	27.89	29.37	31.02	32.18	33.99	36.14	37.79	39.11	40.59	41.91	42.90	43.89	44.72	46.04	47.03	48.18	49.50	50.83	52.81	19.35	18.03	18.68	25.41	27.63	29.12	28.17	27.57	26.37	25.08	25.15	26.37	25.38	24.94	24.62	25.36	24.81	24.73	25.35	25.58	25.27	25.34	25.54	25.82	25.73	26.14	26.74	26.97	26.96	27.06	27.02	26.80	26.60	26.29	26.30	26.12	26.02	26.04	26.06	26.40	0.04	0.06	0.09	0.14	0.17	0.20	0.21	0.21	0.21	0.21	0.22	0.23	0.23	0.23	0.23	0.24	0.24	0.24	0.25	0.26	0.26	0.26	0.26	0.27	0.27	0.27	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	52.81	29.12	0.29	36.07
45	37	17213.4	17413.1	13.1519	0.0000	3615	1913	606	0.66	1.49	2.81	4.62	6.11	7.43	8.58	10.23	10.73	12.21	13.04	14.19	15.51	16.50	18.15	19.14	19.64	21.62	22.77	24.26	25.08	26.24	27.56	29.04	31.35	32.18	33.83	36.14	37.62	38.94	40.92	42.41	43.56	44.88	45.21	46.37	48.18	49.34	50.50	51.16	12.90	14.75	18.68	22.95	24.34	24.73	24.41	25.51	23.81	24.42	23.65	23.63	23.86	23.53	24.18	23.92	23.06	23.99	23.96	24.26	23.86	23.84	23.96	24.18	25.07	24.75	25.03	25.80	25.94	25.96	26.38	26.49	26.40	26.38	25.82	25.76	26.02	25.95	25.89	25.58	0.03	0.05	0.09	0.13	0.15	0.17	0.18	0.20	0.19	0.20	0.20	0.21	0.22	0.22	0.23	0.23	0.22	0.23	0.24	0.24	0.24	0.24	0.25	0.25	0.26	0.26	0.26	0.27	0.28	0.28	0.28	0.29	0.29	0.29	0.28	0.28	0.29	0.29	0.29	0.28	51.16	26.49	0.29	29.03
50	39	17101.9	17390.5	13.4844	0.0000	3615	1913	606	0.99	1.82	3.14	5.28	6.60	7.76	9.08	10.56	11.72	12.38	13.53	15.18	16.01	17.16	18.32	19.80	20.79	22.11	23.93	25.58	26.57	27.56	28.71	31.19	32.34	34.16	36.30	38.45	39.93	41.25	42.41	43.56	44.55	45.54	46.53	48.51	49.01	50.50	52.15	52.64	19.35	18.03	20.88	26.23	26.32	25.82	25.82	26.34	26.01	24.75	24.55	25.27	24.62	24.47	24.40	24.74	24.42	24.54	25.17	25.58	25.27	25.04	24.96	25.96	25.86	26.27	26.86	27.44	27.53	27.50	27.34	27.22	27.00	26.77	26.58	26.95	26.47	26.56	26.73	26.32	0.04	0.06	0.10	0.15	0.16	0.18	0.19	0.20	0.21	0.21	0.21	0.22	0.22	0.23	0.23	0.24	0.24	0.24	0.25	0.26	0.26	0.26	0.26	0.27	0.27	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.30	0.29	0.29	0.30	0.29	52.64	27.53	0.30	38.71
55	43	16812.0	17112.2	12.9178	0.0000	3615	1913	606	1.16	2.64	4.13	5.61	7.10	8.58	9.24	10.40	11.55	12.38	12.87	14.85	16.67	17.66	18.98	20.30	21.29	22.28	23.43	24.26	25.58	27.06	28.22	29.21	30.03	31.35	33.33	34.98	37.95	38.94	40.92	42.08	43.40	45.05	46.70	48.02	49.34	50.33	50.83	51.82	22.58	26.23	27.47	27.87	28.29	28.57	26.29	25.93	25.64	24.75	23.35	24.73	25.63	25.18	25.27	25.36	25.00	24.73	24.65	24.26	24.33	24.59	24.53	24.31	24.01	24.11	24.66	24.97	26.17	25.96	26.38	26.29	26.30	26.48	26.67	26.67	26.65	26.48	26.06	25.91	0.05	0.09	0.13	0.16	0.18	0.19	0.19	0.20	0.21	0.21	0.20	0.22	0.23	0.23	0.24	0.24	0.24	0.24	0.24	0.24	0.25	0.25	0.25	0.25	0.25	0.25	0.26	0.26	0.28	0.28	0.28	0.28	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	51.82	28.57	0.29	29.51
