5	5	3133.6	3133.6	1.9615	0.0000	4344	2280	671	3.43	6.41	9.09	11.92	14.16	16.39	18.33	19.52	21.16	22.95	23.55	25.78	29.06	32.34	35.17	37.70	40.39	43.07	45.45	48.88	51.42	53.50	55.89	57.53	60.21	62.00	63.64	64.83	66.02	67.06	68.55	70.19	71.24	72.13	73.17	74.52	75.71	77.05	78.99	81.22	67.65	63.24	60.40	59.26	56.55	54.46	52.34	48.70	47.02	45.83	42.70	42.93	44.62	46.17	46.83	47.11	47.46	47.85	47.81	48.88	48.94	48.58	48.58	47.89	48.15	47.65	47.13	46.28	45.53	44.69	44.19	43.85	43.14	42.42	41.79	41.39	40.90	40.55	40.49	40.61	0.14	0.23	0.28	0.33	0.35	0.37	0.38	0.37	0.38	0.38	0.37	0.38	0.40	0.43	0.44	0.45	0.46	0.47	0.47	0.49	0.49	0.49	0.50	0.50	0.50	0.50	0.50	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.46	0.45	0.45	0.45	0.45	0.45	81.22	67.65	0.50	39.26
10	10	2777.3	2777.3	1.7980	0.0000	4344	2280	671	2.24	5.81	8.94	12.07	14.61	17.29	18.93	21.31	22.95	24.59	25.78	26.83	29.06	30.55	32.34	35.02	38.30	40.98	43.07	44.86	47.99	50.97	54.10	56.48	58.27	61.10	62.44	64.53	66.17	67.51	69.15	70.34	70.94	71.54	73.17	74.07	74.81	75.86	76.75	78.54	44.12	57.35	59.41	60.00	58.33	57.43	54.04	53.16	50.99	49.11	46.76	44.67	44.62	43.62	43.06	43.76	45.01	45.53	45.30	44.86	45.67	46.28	47.02	47.02	46.60	46.96	46.25	46.06	45.63	44.99	44.57	43.95	42.96	42.07	41.79	41.14	40.42	39.92	39.34	39.27	0.09	0.21	0.28	0.33	0.36	0.39	0.39	0.41	0.41	0.41	0.40	0.39	0.40	0.40	0.40	0.42	0.43	0.45	0.45	0.45	0.46	0.47	0.48	0.49	0.49	0.49	0.49	0.49	0.49	0.48	0.48	0.48	0.47	0.46	0.46	0.45	0.45	0.44	0.44	0.44	78.54	60.00	0.49	55.88
15	15	2632.3	2632.3	1.6504	0.0000	4344	2280	671	2.98	6.11	9.09	12.52	14.46	16.54	19.67	21.31	23.10	25.04	27.27	29.06	30.70	32.04	33.83	35.62	36.66	38.75	40.98	42.92	46.05	49.33	52.61	54.69	57.38	60.36	62.74	65.42	67.36	69.00	70.34	71.98	72.88	73.92	74.66	76.30	76.90	77.50	78.39	79.28	58.82	60.29	60.40	62.22	57.74	54.95	56.17	53.16	51.32	50.00	49.46	48.39	47.14	45.74	45.04	44.51	43.08	43.05	43.10	42.92	43.83	44.79	45.73	45.53	45.89	46.39	46.47	46.70	46.45	45.98	45.34	44.97	44.13	43.47	42.64	42.38	41.55	40.78	40.18	39.64	0.12	0.22	0.28	0.35	0.36	0.38	0.41	0.41	0.41	0.42	0.43	0.43	0.43	0.42	0.42	0.42	0.42	0.42	0.43	0.43	0.44	0.46	0.47	0.47	0.48	0.49	0.49	0.50	0.50	0.49	0.49	0.49	0.48	0.47	0.47	0.47	0.46	0.45	0.45	0.44	79.28	62.22	0.50	43.07
20	20	2513.9	2513.9	1.5791	0.0000	4344	2280	671	2.38	5.96	9.09	12.97	15.95	18.48	20.86	23.40	25.63	27.42	28.91	29.66	31.45	32.79	34.28	35.32	36.66	38.60	41.13	43.96	46.35	49.78	52.01	54.55	57.53	59.76	62.30	64.68	67.06	69.00	70.64	71.68	72.88	73.92	75.56	76.01	77.20	77.50	78.39	79.28	47.06	58.82	60.40	64.44	63.69	61.39	59.57	58.36	56.95	54.76	52.43	49.38	48.28	46.81	45.63	44.13	43.08	42.88	43.26	43.96	44.11	45.20	45.21	45.41	46.01	45.93	46.14	46.17	46.25	45.98	45.53	44.79	44.13	43.47	43.15	42.22	41.71	40.78	40.18	39.64	0.10	0.21	0.28	0.36	0.40	0.42	0.43	0.45	0.46	0.46	0.45	0.44	0.44	0.43	0.43	0.42	0.42	0.42	0.43	0.44	0.45	0.46	0.46	0.47	0.48	0.48	0.49	0.49	0.49	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.46	0.45	0.45	0.44	79.28	64.44	0.49	52.94
25	22	2433.4	2456.5	1.4831	0.0000	4344	2280	671	3.58	7.00	10.43	13.26	15.50	17.73	20.12	22.50	25.19	26.53	28.76	30.85	32.79	34.13	34.43	35.47	36.96	38.90	41.13	43.22	46.05	48.29	50.97	53.65	56.04	59.31	62.44	65.42	67.66	69.60	71.39	72.88	74.52	75.56	76.45	77.05	78.24	78.84	79.58	80.33	70.59	69.12	69.31	65.93	61.90	58.91	57.45	56.13	55.96	52.98	52.16	51.36	50.34	48.72	45.83	44.32	43.43	43.21	43.26	43.22	43.83	43.84	44.30	44.67	44.82	45.59	46.25	46.70	46.66	46.38	46.01	45.53	45.13	44.43	43.66	42.80	42.27	41.49	40.79	40.16	0.15	0.25	0.33	0.37	0.39	0.40	0.42	0.43	0.45	0.44	0.45	0.45	0.45	0.45	0.43	0.42	0.42	0.42	0.43	0.43	0.44	0.45	0.45	0.46	0.47	0.48	0.49	0.50	0.50	0.50	0.50	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.45	0.45	80.33	70.59	0.50	40.00
30	27	2387.4	2404.4	1.4461	0.0000	4344	2280	671	3.43	6.56	9.09	12.37	14.90	17.59	19.67	22.50	25.04	27.42	28.91	30.25	31.89	32.94	35.02	35.92	37.26	38.45	40.09	42.18	45.16	47.54	50.07	53.20	55.29	57.97	60.95	63.79	66.62	69.00	70.79	72.13	73.77	75.11	76.45	77.50	78.24	78.99	80.48	80.92	67.65	64.71	60.40	61.48	59.52	58.42	56.17	56.13	55.63	54.76	52.43	50.37	48.97	47.02	46.63	44.88	43.78	42.72	42.16	42.18	42.98	43.17	43.52	44.29	44.22	44.56	45.14	45.53	45.94	45.98	45.63	45.07	44.68	44.17	43.66	43.05	42.27	41.57	41.25	40.46	0.14	0.23	0.28	0.34	0.37	0.40	0.41	0.43	0.45	0.46	0.45	0.44	0.44	0.43	0.44	0.43	0.42	0.42	0.42	0.42	0.43	0.44	0.45	0.46	0.46	0.47	0.48	0.48	0.49	0.49	0.49	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.46	0.45	80.92	67.65	0.49	40.43
35	29	2309.5	2349.8	1.4463	0.0000	4344	2280	671	3.58	6.71	9.54	12.37	15.35	18.03	21.01	23.25	25.78	28.32	30.55	32.49	33.83	35.77	37.11	38.60	39.79	40.83	42.32	44.11	46.50	48.73	50.67	53.50	55.59	58.42	60.36	63.64	66.17	68.85	70.64	72.28	73.47	74.81	75.41	76.60	77.79	78.69	79.58	80.03	70.59	66.18	63.37	61.48	61.31	59.90	60.00	57.99	57.28	56.55	55.41	54.09	51.95	51.06	49.40	48.23	46.76	45.36	44.51	44.11	44.26	44.25	44.04	44.54	44.46	44.90	44.70	45.43	45.63	45.88	45.53	45.16	44.49	44.00	43.06	42.55	42.03	41.41	40.79	40.01	0.15	0.24	0.30	0.34	0.38	0.41	0.44	0.45	0.46	0.47	0.48	0.48	0.47	0.47	0.46	0.46	0.45	0.44	0.44	0.44	0.45	0.45	0.45	0.46	0.46	0.47	0.47	0.48	0.49	0.49	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.46	0.45	0.44	80.03	70.59	0.49	39.60
40	37	2247.9	2269.8	1.4246	0.0000	4344	2280	671	3.87	6.56	9.84	12.97	15.95	18.93	21.01	23.55	26.38	28.61	30.70	32.19	33.68	35.02	36.66	38.15	39.49	40.24	41.88	43.37	45.01	47.69	50.97	53.80	56.33	58.42	60.51	63.49	65.87	68.41	70.34	72.73	74.66	75.86	76.90	78.09	78.99	79.58	80.33	81.37	76.47	64.71	65.35	64.44	63.69	62.87	60.00	58.74	58.61	57.14	55.68	53.60	51.72	50.00	48.81	47.67	46.41	44.70	44.04	43.37	42.84	43.30	44.30	44.79	45.05	44.90	44.81	45.32	45.43	45.58	45.34	45.44	45.22	44.61	43.91	43.38	42.67	41.88	41.18	40.69	0.16	0.23	0.31	0.36	0.40	0.43	0.44	0.45	0.47	0.48	0.48	0.47	0.47	0.46	0.46	0.45	0.45	0.44	0.44	0.43	0.43	0.44	0.45	0.46	0.47	0.47	0.47	0.48	0.48	0.49	0.49	0.49	0.49	0.49	0.48	0.48	0.47	0.46	0.46	0.45	81.37	76.47	0.49	38.66
45	41	2226.4	2243.7	1.3856	0.0000	4344	2280	671	2.98	7.00	9.69	12.97	16.10	18.78	21.46	24.74	26.83	29.21	31.30	32.64	34.43	35.77	37.56	38.60	39.94	41.28	43.07	44.41	46.65	48.44	50.97	53.65	56.04	59.31	61.40	64.08	66.02	68.41	71.24	73.03	74.37	75.71	76.90	78.54	79.14	79.43	80.18	81.37	58.82	69.12	64.36	64.44	64.29	62.38	61.28	61.71	59.60	58.33	56.76	54.34	52.86	51.06	50.00	48.23	46.94	45.86	45.30	44.41	44.40	43.98	44.30	44.67	44.82	45.59	45.47	45.74	45.53	45.58	45.92	45.62	45.04	44.52	43.91	43.63	42.75	41.80	41.10	40.69	0.12	0.25	0.30	0.36	0.40	0.43	0.45	0.48	0.48	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.45	0.45	0.45	0.44	0.45	0.45	0.45	0.46	0.47	0.48	0.48	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.48	0.48	0.47	0.46	0.46	0.45	81.37	69.12	0.49	41.18
50	46	2151.9	2169.8	1.3603	0.0000	4344	2280	671	3.87	7.60	10.73	13.71	17.14	19.67	21.31	24.44	27.12	28.76	30.85	32.49	33.83	35.92	37.41	38.45	39.94	41.28	42.03	43.96	45.60	47.54	49.18	52.01	54.55	57.38	59.91	62.15	64.68	67.21	69.30	71.54	74.07	75.86	77.20	78.24	79.14	80.18	81.07	82.27	76.47	75.00	71.29	68.15	68.45	65.35	60.85	60.97	60.26	57.44	55.95	54.09	51.95	51.28	49.80	48.04	46.94	45.86	44.20	43.96	43.40	43.17	42.75	43.30	43.62	44.10	44.37	44.36	44.60	44.79	44.67	44.69	44.86	44.61	44.09	43.46	42.75	42.20	41.56	41.13	0.16	0.27	0.33	0.38	0.43	0.45	0.44	0.47	0.48	0.48	0.48	0.48	0.47	0.47	0.47	0.46	0.45	0.45	0.44	0.44	0.44	0.44	0.44	0.45	0.45	0.46	0.47	0.47	0.48	0.48	0.48	0.48	0.49	0.49	0.48	0.48	0.47	0.47	0.46	0.46	82.27	76.47	0.49	37.45
