k	new-k	old cost	cost	clusterScore	ngramCntAll	ngramCntChv	ngramCntChvTest	RC5	RC10	RC15	RC20	RC25	RC30	RC35	RC40	RC45	RC50	RC55	RC60	RC65	RC70	RC75	RC80	RC85	RC90	RC95	RC100	RC105	RC110	RC115	RC120	RC125	RC130	RC135	RC140	RC145	RC150	RC155	RC160	RC165	RC170	RC175	RC180	RC185	RC190	RC195	RC200	PC5	PC10	PC15	PC20	PC25	PC30	PC35	PC40	PC45	PC50	PC55	PC60	PC65	PC70	PC75	PC80	PC85	PC90	PC95	PC100	PC105	PC110	PC115	PC120	PC125	PC130	PC135	PC140	PC145	PC150	PC155	PC160	PC165	PC170	PC175	PC180	PC185	PC190	PC195	PC200	FS5	FS10	FS15	FS20	FS25	FS30	FS35	FS40	FS45	FS50	FS55	FS60	FS65	FS70	FS75	FS80	FS85	FS90	FS95	FS100	FS105	FS110	FS115	FS120	FS125	FS130	FS135	FS140	FS145	FS150	FS155	FS160	FS165	FS170	FS175	FS180	FS185	FS190	FS195	FS200	recallMax	precisionMax	fscoreMax	umlsPrecisionMax
tfall	0	0	0	0	28780	7285	2195.3	1.521	2.542	3.814	4.722	5.586	6.477	6.93	7.597	8.414	9.077	9.604	10.401	11.234	11.897	12.487	12.924	13.087	13.195	13.603	14.316	14.895	15.491	16.036	16.504	17.098	17.725	18.3	19.019	19.492	19.921	20.428	20.92	21.49	22.032	22.529	23.01	23.482	23.901	24.329	24.616	66.8	55.8	55.8	51.8	49.04	47.4	43.458	41.7	41.044	39.86	38.329	38.049	37.939	37.314	36.548	35.466	33.8	32.189	31.432	31.43	31.142	30.918	30.581	30.192	30.024	29.93	29.756	29.821	29.509	29.155	28.929	28.702	28.588	28.446	28.256	28.06	27.866	27.616	27.389	27.02	0.071	0.108	0.152	0.172	0.191	0.207	0.211	0.219	0.231	0.237	0.24	0.247	0.258	0.261	0.263	0.265	0.256	0.249	0.249	0.253	0.256	0.258	0.259	0.259	0.261	0.264	0.265	0.267	0.267	0.268	0.268	0.267	0.268	0.269	0.267	0.267	0.267	0.267	0.266	0.265	24.616	66.8	0.271	34.6
cvlaue	0	0	0	0	28780	7285	2195.3	1.371	2.448	3.249	4.11	4.708	5.213	5.836	6.505	6.712	7.138	7.731	8.295	8.9	9.702	10.313	10.958	11.621	12.283	12.967	13.565	13.981	14.408	14.969	15.332	15.575	16.035	16.384	16.66	17.019	17.403	17.68	17.986	18.313	18.543	18.812	19.112	19.271	19.368	19.563	19.963	60.2	53.7	47.535	45.1	41.32	38.133	36.601	35.7	32.734	31.34	30.856	30.349	30.061	30.427	30.186	30.076	30.012	29.955	29.969	29.78	29.228	28.753	28.548	28.049	27.352	27.077	26.644	26.121	25.766	25.468	25.039	24.676	24.364	23.943	23.594	23.306	22.864	22.372	22.02	21.91	0.062	0.103	0.128	0.151	0.161	0.17	0.178	0.187	0.184	0.187	0.192	0.198	0.205	0.213	0.217	0.223	0.228	0.232	0.237	0.242	0.24	0.239	0.243	0.241	0.238	0.238	0.237	0.235	0.235	0.232	0.232	0.229	0.228	0.226	0.224	0.224	0.221	0.216	0.215	0.216	19.963	60.2	0.243	32
10	9.8	7110.3	7118.59	0	28780	7285	2195.3	1.27	2.429	3.614	4.934	6.056	7.37	8.423	9.53	10.595	11.754	12.681	13.766	14.841	15.842	16.702	17.37	17.753	18.077	18.359	18.568	18.811	19.019	19.214	19.332	19.426	19.62	19.753	19.924	20.097	20.226	20.336	20.49	20.641	20.75	20.894	21.022	21.145	21.291	21.395	21.521	55.8	53.3	52.867	54.15	53.16	53.9	52.8	52.275	51.668	51.58	50.6	50.349	50.106	49.67	48.867	47.654	45.835	44.078	42.41	40.75	39.315	37.946	36.638	35.36	34.104	33.123	32.11	31.235	30.42	29.594	28.792	28.108	27.455	26.79	26.206	25.634	25.087	24.595	24.082	23.62	0.059	0.103	0.143	0.181	0.207	0.238	0.258	0.275	0.293	0.307	0.317	0.328	0.339	0.348	0.354	0.353	0.35	0.343	0.337	0.327	0.324	0.318	0.309	0.303	0.297	0.291	0.285	0.28	0.276	0.272	0.265	0.261	0.258	0.254	0.249	0.246	0.241	0.239	0.234	0.23	21.521	57.053	0.356	50.609
20	18.7	6422.5	6443.53	0	28780	7285	2195.3	1.29	2.463	3.649	4.88	6.145	7.45	8.742	9.901	10.984	11.934	12.903	13.74	14.584	15.421	16.17	16.834	17.425	18.042	18.621	19.137	19.559	19.959	20.26	20.662	20.999	21.356	21.557	21.91	22.157	22.425	22.57	22.725	22.868	23.006	23.153	23.294	23.435	23.54	23.699	23.812	56.6	54.1	53.4	53.55	53.96	54.534	54.827	54.325	53.578	52.38	51.492	50.25	49.233	48.343	47.306	46.178	44.988	44.001	43.02	42	40.885	39.818	38.627	37.792	36.872	36.055	35.045	34.35	33.537	32.814	31.962	31.173	30.419	29.705	29.04	28.406	27.808	27.195	26.677	26.135	0.059	0.104	0.144	0.178	0.212	0.24	0.268	0.287	0.302	0.312	0.321	0.33	0.332	0.337	0.341	0.344	0.341	0.342	0.341	0.338	0.336	0.334	0.326	0.323	0.321	0.318	0.309	0.309	0.304	0.301	0.294	0.291	0.285	0.281	0.276	0.272	0.269	0.263	0.26	0.257	23.812	58.4	0.348	49.547
30	27.8	5956.06	5982.01	0	28780	7285	2195.3	1.366	2.641	3.833	5.061	6.456	7.678	8.948	10.082	11.241	12.369	13.295	14.273	15.176	16.096	16.857	17.609	18.3	18.904	19.57	20.211	20.82	21.357	21.825	22.277	22.711	23.129	23.434	23.815	24.11	24.403	24.619	24.765	24.906	25.103	25.291	25.44	25.559	25.711	25.852	25.981	60	58	56.067	55.55	56.68	56.168	56.114	55.325	54.821	54.3	53.073	52.217	51.262	50.487	49.348	48.328	47.27	46.121	45.241	44.39	43.554	42.634	41.641	40.767	39.904	39.069	38.119	37.35	36.511	35.72	34.871	33.983	33.14	32.418	31.726	31.029	30.33	29.705	29.102	28.515	0.062	0.111	0.15	0.185	0.223	0.248	0.273	0.293	0.31	0.323	0.332	0.339	0.348	0.354	0.357	0.36	0.359	0.358	0.36	0.357	0.355	0.355	0.351	0.349	0.347	0.343	0.339	0.334	0.332	0.327	0.324	0.317	0.31	0.305	0.302	0.297	0.293	0.287	0.283	0.279	25.981	61.549	0.366	48.531
40	37.7	5658.64	5679.04	0	28780	7285	2195.3	1.412	2.779	3.984	5.225	6.537	7.787	9.009	10.184	11.343	12.433	13.591	14.662	15.59	16.659	17.601	18.455	19.269	19.988	20.698	21.426	22.017	22.519	22.979	23.447	23.83	24.224	24.592	24.96	25.252	25.521	25.789	26.084	26.31	26.484	26.658	26.82	26.958	27.065	27.222	27.374	62	61	58.333	57.35	57.4	56.965	56.487	55.875	55.333	54.58	54.255	53.65	52.661	52.258	51.534	50.653	49.777	48.766	47.845	47.05	46.05	44.953	43.84	42.909	41.864	40.915	39.992	39.142	38.235	37.352	36.529	35.79	35.007	34.199	33.439	32.712	31.99	31.273	30.645	30.045	0.064	0.117	0.155	0.192	0.226	0.25	0.274	0.295	0.311	0.325	0.34	0.352	0.357	0.366	0.373	0.377	0.377	0.38	0.378	0.38	0.377	0.375	0.372	0.367	0.363	0.36	0.355	0.351	0.346	0.343	0.337	0.332	0.328	0.324	0.317	0.312	0.308	0.303	0.299	0.293	27.374	63.576	0.383	47.504
50	47	5373.78	5397.56	0	28780	7285	2195.3	1.399	2.707	3.885	5.12	6.352	7.635	8.849	10.119	11.298	12.387	13.554	14.712	15.827	16.866	17.932	18.901	19.808	20.565	21.225	21.954	22.438	23.013	23.495	23.966	24.48	24.987	25.375	25.757	26.154	26.591	26.927	27.319	27.667	27.952	28.273	28.461	28.623	28.879	29.078	29.215	61.4	59.4	56.8	56.15	55.72	55.832	55.457	55.5	55.089	54.36	54.072	53.8	53.431	52.871	52.467	51.852	51.141	50.145	49.032	48.18	46.898	45.909	44.795	43.826	42.976	42.177	41.245	40.371	39.579	38.901	38.123	37.477	36.799	36.089	35.458	34.7	33.956	33.363	32.73	32.06	0.063	0.114	0.152	0.187	0.218	0.247	0.271	0.292	0.312	0.324	0.339	0.352	0.363	0.369	0.379	0.384	0.389	0.389	0.387	0.389	0.386	0.383	0.379	0.375	0.374	0.372	0.365	0.364	0.359	0.356	0.352	0.348	0.345	0.34	0.338	0.331	0.328	0.323	0.32	0.315	29.215	62.713	0.391	47.368
60	54.7	5217.08	5247.33	0	28780	7285	2195.3	1.457	2.808	4.075	5.324	6.613	8.035	9.218	10.41	11.669	12.817	13.862	14.861	16.027	17.097	18.177	19.107	20.032	20.823	21.535	22.205	22.858	23.422	23.983	24.528	25.006	25.457	25.868	26.292	26.699	27.097	27.432	27.872	28.218	28.542	28.858	29.1	29.378	29.605	29.756	29.932	64	61.6	59.6	58.4	58.04	58.767	57.801	57.1	56.912	56.26	55.309	54.35	54.109	53.6	53.187	52.428	51.728	50.778	49.757	48.74	47.78	46.736	45.733	44.867	43.912	42.984	42.059	41.222	40.42	39.654	38.851	38.239	37.541	36.853	36.195	35.483	34.852	34.196	33.493	32.845	0.066	0.118	0.159	0.194	0.229	0.26	0.281	0.3	0.321	0.335	0.347	0.354	0.367	0.375	0.385	0.388	0.393	0.395	0.395	0.394	0.392	0.389	0.388	0.385	0.382	0.376	0.374	0.372	0.366	0.363	0.359	0.357	0.351	0.349	0.345	0.339	0.337	0.331	0.328	0.322	29.932	64.9	0.4	47.027
70	61.9	5025.28	5078.54	0	28780	7285	2195.3	1.48	2.81	4.088	5.311	6.632	7.913	9.19	10.433	11.628	12.748	13.947	14.936	16.137	17.124	18.205	19.122	20.03	20.895	21.528	22.235	22.776	23.328	23.904	24.387	24.888	25.338	25.789	26.217	26.71	27.158	27.588	27.963	28.369	28.742	29.059	29.402	29.703	29.999	30.231	30.427	65	61.7	59.8	58.3	58.24	57.9	57.629	57.25	56.711	55.96	55.655	54.633	54.493	53.699	53.281	52.476	51.73	50.966	49.747	48.81	47.619	46.554	45.595	44.615	43.712	42.793	41.94	41.114	40.441	39.746	39.071	38.363	37.74	37.112	36.445	35.85	35.237	34.653	34.027	33.39	0.068	0.119	0.16	0.195	0.227	0.257	0.281	0.303	0.319	0.333	0.35	0.356	0.371	0.377	0.385	0.388	0.394	0.395	0.394	0.393	0.39	0.389	0.387	0.383	0.38	0.377	0.374	0.369	0.369	0.365	0.361	0.358	0.353	0.351	0.345	0.344	0.34	0.336	0.332	0.327	30.427	65.2	0.397	46.457
80	69.7	4883.92	4946.45	0	28780	7285	2195.3	1.44	2.804	4.152	5.509	6.812	8.068	9.261	10.446	11.657	12.842	14.034	15.204	16.26	17.38	18.387	19.376	20.275	21.189	21.999	22.727	23.404	23.979	24.542	25.071	25.546	26.043	26.548	26.967	27.378	27.848	28.18	28.587	28.912	29.239	29.653	29.972	30.306	30.601	30.82	31.11	63.2	61.5	60.733	60.45	59.8	59	58.055	57.3	56.845	56.36	56.001	55.617	54.907	54.5	53.813	53.164	52.353	51.677	50.832	49.89	48.922	47.854	46.802	45.858	44.856	43.969	43.162	42.277	41.441	40.747	39.903	39.214	38.454	37.747	37.189	36.544	35.951	35.346	34.687	34.14	0.067	0.119	0.163	0.199	0.234	0.259	0.282	0.302	0.321	0.336	0.35	0.364	0.373	0.382	0.388	0.394	0.399	0.402	0.403	0.403	0.401	0.4	0.396	0.394	0.388	0.387	0.384	0.379	0.376	0.374	0.369	0.366	0.361	0.356	0.353	0.351	0.345	0.344	0.338	0.336	31.11	65.4	0.405	46.426
90	75.8	4745.62	4830.31	0	28780	7285	2195.3	1.494	2.835	4.11	5.426	6.652	7.897	9.142	10.408	11.598	12.733	13.922	15.064	16.162	17.264	18.388	19.34	20.241	21.037	21.789	22.501	23.134	23.775	24.318	24.881	25.414	25.961	26.469	26.987	27.435	27.89	28.334	28.782	29.238	29.726	30.122	30.462	30.842	31.188	31.509	31.841	65.6	62.2	60.134	59.55	58.4	57.766	57.315	57.1	56.556	55.88	55.544	55.1	54.569	54.129	53.8	53.052	52.261	51.301	50.337	49.38	48.353	47.435	46.368	45.507	44.624	43.831	43.037	42.308	41.532	40.812	40.122	39.488	38.897	38.382	37.784	37.15	36.595	36.032	35.468	34.945	0.068	0.119	0.159	0.201	0.229	0.255	0.279	0.3	0.319	0.334	0.348	0.358	0.368	0.38	0.387	0.393	0.397	0.398	0.399	0.398	0.398	0.396	0.392	0.39	0.388	0.384	0.383	0.38	0.377	0.372	0.37	0.367	0.366	0.362	0.359	0.357	0.353	0.349	0.345	0.343	31.841	66.267	0.403	46.314
100	80.1	4617.65	4736.41	0	28780	7285	2195.3	1.469	2.89	4.136	5.443	6.82	8.126	9.4	10.62	11.809	13.025	14.12	15.275	16.335	17.428	18.522	19.608	20.624	21.625	22.488	23.242	23.947	24.568	25.126	25.667	26.144	26.621	27.065	27.532	28.049	28.464	28.87	29.28	29.677	30.096	30.54	30.922	31.299	31.655	31.99	32.231	64.6	63.4	60.535	59.7	59.84	59.433	58.944	58.275	57.6	57.18	56.346	55.867	55.154	54.643	54.199	53.791	53.247	52.733	51.958	51.01	50.057	49.028	47.915	46.951	45.912	44.947	44.008	43.165	42.463	41.653	40.884	40.17	39.478	38.859	38.302	37.705	37.133	36.569	36.005	35.37	0.068	0.123	0.163	0.199	0.235	0.262	0.286	0.306	0.325	0.342	0.352	0.364	0.375	0.382	0.392	0.397	0.404	0.411	0.412	0.411	0.412	0.409	0.405	0.403	0.4	0.395	0.391	0.389	0.387	0.381	0.378	0.375	0.371	0.368	0.364	0.36	0.359	0.355	0.352	0.347	32.231	65.633	0.415	46.295
110	86.9	4516.63	4649.81	0	28780	7285	2195.3	1.44	2.817	4.203	5.557	6.924	8.21	9.368	10.607	11.826	12.93	14.084	15.32	16.457	17.613	18.641	19.763	20.81	21.784	22.716	23.464	24.173	24.877	25.453	25.988	26.483	27.008	27.503	27.96	28.423	28.917	29.342	29.857	30.282	30.678	31.096	31.528	31.941	32.315	32.651	32.94	63.2	61.8	61.534	61	60.8	60.065	58.743	58.2	57.667	56.74	56.202	56.034	55.57	55.231	54.56	54.226	53.742	53.135	52.485	51.5	50.533	49.635	48.533	47.532	46.504	45.6	44.719	43.837	43.027	42.314	41.548	40.957	40.279	39.606	39	38.446	37.898	37.331	36.753	36.15	0.066	0.119	0.166	0.206	0.236	0.266	0.285	0.305	0.324	0.338	0.352	0.367	0.377	0.386	0.394	0.401	0.41	0.414	0.417	0.416	0.416	0.416	0.411	0.406	0.404	0.4	0.397	0.395	0.391	0.386	0.384	0.382	0.378	0.373	0.371	0.368	0.366	0.361	0.359	0.354	32.94	66.303	0.417	46.4
